,tweet_date,tweet_id,text,user_id,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,verified
73,Thu Dec 13 00:14:49 +0000 2018,1073008303024807936,RT @313doe: Me as soon as I throw the Nike Tech on https://t.co/cnRcozyclL,322829019,L 🥶,"Columbus, GA",1214,761,71073,14165,False
74,Thu Dec 13 00:14:53 +0000 2018,1073008319307177984,"New NBA Unis for Playoff Teams: The 16 teams who made the 2018 playoffs got new ‘Earned’ jerseys 🔥

https://t.co/fNoEvPO8Vp",227469180,MikeAngus,,1065,2198,183225,1926,False
75,Thu Dec 13 00:14:53 +0000 2018,1073008320091512832,RT @jwdanklefs: FOR SALE!!!!! DS Nike Air Force 1 Rocafella Sz13 retail $150 including shipping OBO (Stock X has Sz13 at $185 FYI) https://…,86960669,IG: ant_eats214 🌮,"Dallas, TX",651,2062,15754,10292,False
76,Thu Dec 13 00:14:55 +0000 2018,1073008325997064192,"RT @QuibellPaul: Nike PG 2.5 ""PlayStation"" Goes Back in Time for This Week's Footwear Drops
https://t.co/US1ufH8XVS",872887853033959424,SinmaraDesign,,1843,1853,13687,10942,False
77,Thu Dec 13 00:14:55 +0000 2018,1073008328949813248,Check out  Arsenal F.C  Vintage Yellow Nike 3rd Jersey Futbol Soccer Kids Sz. Med Used #Nike https://t.co/fCjU6nsERy via @eBay,15744226,NEILSHOTDEALS,Islip New York,1848,2600,43473,11753,False
78,Thu Dec 13 00:14:56 +0000 2018,1073008332485476353,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,1527431154,MostHated🥀™️,Under the radar,2864,2991,115655,84610,False
79,Thu Dec 13 00:14:56 +0000 2018,1073008333852954624,RT @uhgoodkth: hoseok wore the equality nike shoes made for black history month and saluted the lgbt+ community during his last speech. he…,889229846362107905,💜 papermelon thank you bts hohoh [zine!]🎄🎁,ask me something anything! ✨,228,1183,24869,22210,False
80,Thu Dec 13 00:14:57 +0000 2018,1073008335622991872,"RT @ItsHopeLowie: Le maquillage aujourd’hui, le prix des Nike au pied d’un gilet jaune la semaine dernière, quand un “pauvre” ne ressemble…",756262588196028416,Samy Adnane,Royaume du Maroc,21,164,1074,2994,False
81,Thu Dec 13 00:14:57 +0000 2018,1073008338135183360,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,410209687,I Am Schmade,United States,522,680,36248,58935,False
82,Thu Dec 13 00:14:58 +0000 2018,1073008339217309696,"RT @BR_NBA: Nike x NBA announce new ""Earned"" edition uniforms for all 16 teams who made the 2018 Playoffs https://t.co/VphtMzPCgg",910720632869941248,#FaZe JDawg,hollywood hills,77,100,1915,6201,False
83,Thu Dec 13 00:14:57 +0000 2018,1073008337543987200,"RT @dropssupreme: ENTER IN A NEW FREE GIVEAWAY 🔥

➡️ follow @solezeroio + @dropssupreme 
➡️ RETWEET + LIKE this post

To try to win a free…",994020097793626112,‘ mark ‘,Zamboanga City,11,168,117,25,False
84,Thu Dec 13 00:15:00 +0000 2018,1073008348491063296,Give the Cleveland jersey to the lakers cause bron made the playoffs not the Cavs,514744227,SosaHendrixx😈🌞,"Bronx, NY",194,143,4582,1184,False
85,Thu Dec 13 00:15:01 +0000 2018,1073008351590711298,Nike Debuts Earned Edition NBA Uniforms https://t.co/bbDCV95B5l #nike #complex #rwmsports #nba #uniforms,77201349,Prince Happoldt,Virginia Beach,382,2162,2306,1082,False
86,Thu Dec 13 00:15:02 +0000 2018,1073008356669968384,RT @mxthxz: melhor a gente ir com calma... mas os nossos pivetes vão usar nike ou adidas?,870741057981607936,kn,,806,494,9064,2499,False
87,Thu Dec 13 00:15:02 +0000 2018,1073008357114634240,Nike’s huge new flagship looks like the future of retail https://t.co/ozmzlB3Zgx,158865339,Co.Design,"New York, NY",554508,521,83545,9418,True
88,Thu Dec 13 00:15:02 +0000 2018,1073008358595194881,"Ad: The Nike Air Max 97 QS ""B-Sides Pack"" is available for $150 each (Retail $180) at Nikestore!
Use code: GIFT30 i… https://t.co/aCgvr9NWHP",1703138106,KicksFinder,,64957,1,17770,24,False
